Feature	Importance
mfcc0	0.0034456351206754556
mfcc1	0.0064935736530660265
mfcc2	0.00017557689212498086
mfcc3	0.005696813763987971
mfcc4	0.004988691833563109
mfcc5	0.00036026613875156247
mfcc6	0.005739816496075608
mfcc7	0.00772781482676195
mfcc8	0.00995050080662765
mfcc9	0.009803908440451889
mfcc10	0.004532690881545145
mfcc11	0.007560755881668472
mfcc12	0.0012330433473795672
mfcc13	0.006918744095596329
mfcc14	0.0012153970705816074
mfcc15	0.008417337347784644
mfcc16	0.0033535420323035007
mfcc17	0.010283025349377766
mfcc18	0.005328078401416527
mfcc19	0.009082489844568765
mfcc20	0.0037846175914579548
mfcc21	0.005973969192331689
mfcc22	0.0012032154399664499
mfcc23	0.014246292112035597
mfcc'0	0.003732059799076623
mfcc'1	0.0008557407094243612
mfcc'2	0.0033417571500734414
mfcc'3	0.0020821111230317412
mfcc'4	0.0007034139595658848
mfcc'5	0.0010759582098443451
mfcc'6	0.000203093029467135
mfcc'7	0.0016410450374277196
mfcc'8	0.0015831016380322546
mfcc'9	0.0006108847967498635
mfcc'10	0.0018209495920927272
mfcc'11	0.0009527290753098792
mfcc'12	0.0009199665267136267
mfcc'13	0.0012574924821211197
mfcc'14	0.0007955942670445135
mfcc'15	0.0001727450419205615
mfcc'16	0.00016404632017720565
mfcc'17	0.0016089306729543903
mfcc'18	0.0005967652776030721
mfcc'19	0.0001300382997694913
mfcc'20	0.0012757626217680994
mfcc'21	0.0013036348313985894
mfcc'22	0.0006020423637482892
mfcc'23	0.002365877845845415
mfcc''0	0.001461161717774292
mfcc''1	7.950691696214751e-05
mfcc''2	0.000635532282587441
mfcc''3	0.0001360480221875755
mfcc''4	0.00016628322219622467
mfcc''5	0.0024067134520391552
mfcc''6	0.0009489878180807135
mfcc''7	0.0010428393887823761
mfcc''8	0.001368310930164529
mfcc''9	0.0027502347816729085
mfcc''10	9.268703941034627e-05
mfcc''11	0.0017961394714049413
mfcc''12	0.000972010815904426
mfcc''13	0.0004004487182968077
mfcc''14	0.0002602609533411842
mfcc''15	0.0009097104934782957
mfcc''16	0.0015398378751476489
mfcc''17	0.0002661707439472995
mfcc''18	0.003540821202675204
mfcc''19	0.002202744671911646
mfcc''20	9.763640403794916e-05
mfcc''21	0.00036754113332305354
mfcc''22	0.0009521678334530559
mfcc''23	0.003065186555872442
ZCR	0.0013968898764122606
Spectral contrats	0.009645138383925573
moyenne gris	4.6135786296259145
variance gris	0.3560820489829347
moyenne bleu	0.4507753920612087
variance bleu	0.30910644860246467
moyenne vert	1.4364123281072567
variance vert	0.15930192897618467
moyenne rouge	0.9596894948057515
variance rouge	0.04383772208637593
moyenne saturation	1.4364123281073051
variance saturation	0.15930192897631074
moyenne luminosité	0.959689494805601
variance luminosité	0.04383772208633177
moyenne teinte	0.23732868043032976
variance teinte	0.00026002051367036565
Dynamisme	0.00929638773695928
Histogramme bleu 0	0.005274288586174851
Histogramme bleu 1	0.0068350693023181966
Histogramme bleu 2	0.007569277358477589
Histogramme bleu 3	0.016752398496754802
Histogramme bleu 4	0.012296120108054347
Histogramme bleu 5	0.003264713737405206
Histogramme bleu 6	0.0010416707224866126
Histogramme bleu 7	0.0018963366000789164
Histogramme bleu 8	0.0701252418352663
Histogramme bleu 9	0.08231528224647956
Histogramme bleu 10	0.004586959820435589
Histogramme bleu 11	0.0041135164145689185
Histogramme bleu 12	0.001588374569645782
Histogramme bleu 13	0.040218449820641815
Histogramme bleu 14	0.021279056270961876
Histogramme bleu 15	0.11459218223633014
Histogramme teinte 0	0.021849176292061446
Histogramme teinte 1	0.037833578601884035
Histogramme teinte 2	0.0004993467341560787
Histogramme teinte 3	0.001414362830935701
Histogramme teinte 4	0.0031222954894999516
Histogramme teinte 5	0.0063793274490224474
Histogramme teinte 6	0.0030967288893896734
Histogramme teinte 7	0.03360007640655025
Histogramme teinte 8	0.0003222355614464676
Histogramme teinte 9	0.003417551339013159
Histogramme teinte 10	0.001811932692476837
Histogramme teinte 11	0.003195270797181761
Histogramme teinte 12	5.512257317263902e-14
Histogramme teinte 13	4.490852134608758e-14
Histogramme teinte 14	7.227551890309769e-14
Histogramme teinte 15	3.7914116290949096e-14
Histogramme vert 0	0.006058426751834819
Histogramme vert 1	0.02176078379224167
Histogramme vert 2	0.006995127304756871
Histogramme vert 3	0.02173333247461599
Histogramme vert 4	0.02134410372910604
Histogramme vert 5	0.015195397363550701
Histogramme vert 6	0.062363640089633125
Histogramme vert 7	0.01038444492677806
Histogramme vert 8	0.015973013837014858
Histogramme vert 9	0.007001182991209616
Histogramme vert 10	0.006799742855660871
Histogramme vert 11	0.009677368548728678
Histogramme vert 12	0.004916495551443899
Histogramme vert 13	0.023019213737847884
Histogramme vert 14	0.008716529094311379
Histogramme vert 15	0.029091709652332834
Histogramme saturation 0	0.005681643029280682
Histogramme saturation 1	0.001887514918858
Histogramme saturation 2	0.02110699110618931
Histogramme saturation 3	0.00903133989304919
Histogramme saturation 4	0.01120989515248712
Histogramme saturation 5	0.012658505860275629
Histogramme saturation 6	0.007704798513589966
Histogramme saturation 7	0.008445833091153656
Histogramme saturation 8	0.007148281882652811
Histogramme saturation 9	0.004603896548541304
Histogramme saturation 10	0.010217672843351767
Histogramme saturation 11	0.008844764322138925
Histogramme saturation 12	0.00021705692213614455
Histogramme saturation 13	0.0054896992788436355
Histogramme saturation 14	0.0028957244372580697
Histogramme saturation 15	0.0016544371096245706
Histogramme rouge 0	0.00742310721242306
Histogramme rouge 1	0.04953166119312222
Histogramme rouge 2	0.018237785142419756
Histogramme rouge 3	0.017786322039994577
Histogramme rouge 4	0.0015897122027943927
Histogramme rouge 5	0.025620485049775342
Histogramme rouge 6	0.012519066699314253
Histogramme rouge 7	0.015222598027320238
Histogramme rouge 8	0.01625590967396916
Histogramme rouge 9	0.0031743052901593563
Histogramme rouge 10	0.017175808132093694
Histogramme rouge 11	0.03386112739755244
Histogramme rouge 12	0.0001767893014088836
Histogramme rouge 13	0.014745496468550333
Histogramme rouge 14	0.016171214069076078
Histogramme rouge 15	0.000511394248150477
Histogramme luminosité 0	0.0012750488944278243
Histogramme luminosité 1	0.034528448199640564
Histogramme luminosité 2	0.013415633056970747
Histogramme luminosité 3	0.024559642343039825
Histogramme luminosité 4	0.014429490902470725
Histogramme luminosité 5	0.01925714256394297
Histogramme luminosité 6	0.005445310208291145
Histogramme luminosité 7	0.026658668527428
Histogramme luminosité 8	0.06426097312950221
Histogramme luminosité 9	0.09466867375316843
Histogramme luminosité 10	0.02486794200499016
Histogramme luminosité 11	0.025912228616927175
Histogramme luminosité 12	0.011549903257263619
Histogramme luminosité 13	0.02992143178411356
Histogramme luminosité 14	0.018161092985377297
Histogramme luminosité 15	0.17355168542350483
