Feature	Importance
moyenne gris	0.0018290166049886487
variance gris	0.0015800692393338357
moyenne bleu	0.0016425663354498992
variance bleu	0.0017676692268862697
moyenne vert	0.0005937172644492718
variance vert	0.000895384855220499
moyenne rouge	4.3454116268196955e-05
variance rouge	0.0034962016608365513
moyenne saturation	0.001436317658132789
variance saturation	0.003919676454998895
moyenne luminosité	0.0013037494120142889
variance luminosité	0.0028089885630851663
moyenne teinte	0.002726819418558501
variance teinte	0.001133022306582502
Histogramme bleu 0	0.0026230442084287232
Histogramme bleu 1	0.00027502406383726465
Histogramme bleu 2	0.000949026187943455
Histogramme bleu 3	0.00040589657018527035
Histogramme bleu 4	0.0022717725059576304
Histogramme bleu 5	0.0026412782957571266
Histogramme bleu 6	0.0010870889371199404
Histogramme bleu 7	8.02244405711079e-05
Histogramme bleu 8	0.0003818157258570443
Histogramme bleu 9	0.0003175951002981288
Histogramme bleu 10	0.0008014319944721442
Histogramme bleu 11	0.0009784226742173656
Histogramme bleu 12	1.5307420664977672e-05
Histogramme bleu 13	0.002426667694062713
Histogramme bleu 14	0.0005161389331554328
Histogramme bleu 15	0.0004513374172103621
Histogramme teinte 0	0.0007457671113603612
Histogramme teinte 1	0.0024263492415592747
Histogramme teinte 2	0.00016350180764746782
Histogramme teinte 3	0.0015947124104024953
Histogramme teinte 4	0.0007488923095391163
Histogramme teinte 5	0.0005883805198199394
Histogramme teinte 6	0.00020598804610464825
Histogramme teinte 7	7.464458348455409e-05
Histogramme teinte 8	0.0005456142874075056
Histogramme teinte 9	0.001769443038542885
Histogramme teinte 10	0.001356546205507565
Histogramme teinte 11	4.365032344551244
Histogramme teinte 12	0.36852289461052584
Histogramme teinte 13	0.4228769486558192
Histogramme teinte 14	0.4004604247415908
Histogramme teinte 15	1.367773375187395
Histogramme vert 0	0.16664246028527369
Histogramme vert 1	0.9254670832420069
Histogramme vert 2	0.04863153992755672
Histogramme vert 3	1.3677733751871723
Histogramme vert 4	0.16664246028532845
Histogramme vert 5	0.9254670832422058
Histogramme vert 6	0.04863153992783421
Histogramme vert 7	0.2236992162533297
Histogramme vert 8	0.007757981654492124
Histogramme vert 9	0.007282770951241574
Histogramme vert 10	0.0032480900481763305
Histogramme vert 11	0.004709086531424305
Histogramme vert 12	0.003940916703237121
Histogramme vert 13	0.015594184015092728
Histogramme vert 14	0.009830991365965302
Histogramme vert 15	0.001903713471207034
Histogramme saturation 0	0.001898916256299273
Histogramme saturation 1	0.009822786568575381
Histogramme saturation 2	0.012297112408677596
Histogramme saturation 3	0.05640079910832835
Histogramme saturation 4	0.00013067616206932035
Histogramme saturation 5	0.0016676462450615215
Histogramme saturation 6	0.004897839632190598
Histogramme saturation 7	0.05770882831856165
Histogramme saturation 8	0.012186496847555971
Histogramme saturation 9	0.2189613180923354
Histogramme saturation 10	0.030005222370024207
Histogramme saturation 11	0.0537070153276524
Histogramme saturation 12	4.3967156668144394e-05
Histogramme saturation 13	0.0021753569013101236
Histogramme saturation 14	0.002163848384532877
Histogramme saturation 15	0.002702226640897791
Histogramme rouge 0	0.0007778322719211607
Histogramme rouge 1	0.03951239851959406
Histogramme rouge 2	0.006339868121406001
Histogramme rouge 3	0.006916104791150842
Histogramme rouge 4	0.0010924763096403433
Histogramme rouge 5	0.0006005989180382278
Histogramme rouge 6	2.756128658631951e-14
Histogramme rouge 7	8.823497488208432e-14
Histogramme rouge 8	2.7505775435088253e-14
Histogramme rouge 9	5.181965967437918e-14
Histogramme rouge 10	0.015409308383401743
Histogramme rouge 11	0.0004126353887802997
Histogramme rouge 12	0.011354894344052976
Histogramme rouge 13	0.035420885914838225
Histogramme rouge 14	0.035099240018647754
Histogramme rouge 15	0.009934092895793719
Histogramme luminosité 0	0.03535090222426286
Histogramme luminosité 1	0.011079379897921264
Histogramme luminosité 2	0.004840248693611171
Histogramme luminosité 3	0.008200835181101221
Histogramme luminosité 4	0.002272839922456123
Histogramme luminosité 5	0.006988603968904161
Histogramme luminosité 6	0.0026530720661605486
Histogramme luminosité 7	0.006905005221806417
Histogramme luminosité 8	0.003143985692550642
Histogramme luminosité 9	0.010551594961829128
Histogramme luminosité 10	0.0015819918164180166
Histogramme luminosité 11	0.010628084074855697
Histogramme luminosité 12	0.02143340760891641
Histogramme luminosité 13	0.006079315973792589
Histogramme luminosité 14	0.005959102918813942
Histogramme luminosité 15	0.02225987749618526
