Feature	Importance
moyenne gris	0.0026727290186059137
variance gris	0.00610080892375444
moyenne bleu	0.008903298852886678
variance bleu	0.007903654019313967
moyenne vert	0.013767281655321336
variance vert	0.014710767439520862
moyenne rouge	0.009440496324157666
variance rouge	0.010004323329718953
moyenne saturation	0.0122116567427887
variance saturation	0.006799524637090519
moyenne luminosité	0.015030001906856473
variance luminosité	0.013969134684554395
moyenne teinte	0.01270595002459108
variance teinte	0.004029936164321483
Histogramme bleu 0	0.002351656332643456
Histogramme bleu 1	0.009138109247141774
Histogramme bleu 2	0.026954194253788154
Histogramme bleu 3	0.014687389744054305
Histogramme bleu 4	0.04022568229942067
Histogramme bleu 5	0.014467557134270233
Histogramme bleu 6	0.007848120351818087
Histogramme bleu 7	0.0511038874426142
Histogramme bleu 8	0.042910666999874135
Histogramme bleu 9	0.0627130052999576
Histogramme bleu 10	0.13191210299640455
Histogramme bleu 11	0.11355570766751873
Histogramme bleu 12	0.04695280958859099
Histogramme bleu 13	0.07608570493855893
Histogramme bleu 14	0.26020225247955553
Histogramme bleu 15	0.5018840611766483
Histogramme teinte 0	0.2575220616693358
Histogramme teinte 1	0.3377139233208771
Histogramme teinte 2	0.05787672354602685
Histogramme teinte 3	0.47005775797642896
Histogramme teinte 4	0.43467841820822745
Histogramme teinte 5	0.14137212016320913
Histogramme teinte 6	0.5757714556279097
Histogramme teinte 7	0.10322153153052131
Histogramme teinte 8	0.33767718413504483
Histogramme teinte 9	0.1342579726439143
Histogramme teinte 10	0.006462347050874045
